iter	RMSE
0	84.37500129
1	78.37445365
2	72.14957757
3	66.90705114
4	62.06797186
5	57.59158358
6	53.64683982
7	49.85826828
8	47.00228832
9	43.91850149
10	41.11050263
11	38.64145946
12	36.46873855
13	34.20717775
14	32.11459671
15	30.47852592
16	28.78704502
17	27.33784576
18	25.9823247
19	24.86158633
20	23.7737009
21	22.65390941
22	21.68888215
23	20.70555849
24	19.86313313
25	19.07310711
26	18.39117143
27	17.70273158
28	17.08413216
29	16.5635615
30	16.07834534
31	15.63008051
32	15.24483954
33	14.84823909
34	14.53765312
35	14.18760909
36	13.9216578
37	13.63024849
38	13.40749701
39	13.15683129
40	12.96174007
41	12.73901821
42	12.53736112
43	12.39967222
44	12.22377131
45	12.09096766
46	11.93591755
47	11.81746516
48	11.70349021
49	11.58142729
50	11.47290194
51	11.36307133
52	11.26976132
53	11.17424986
54	11.08544339
55	11.00834923
56	10.94807415
57	10.88404713
58	10.83055256
59	10.76470114
60	10.72235262
61	10.67522809
62	10.62106643
63	10.57259484
64	10.52263048
65	10.48197888
66	10.4500713
67	10.41145114
68	10.3779783
69	10.34350169
70	10.31761376
71	10.29147649
72	10.26259274
73	10.23161512
74	10.20468933
75	10.18436458
76	10.16312568
77	10.14292493
78	10.12779411
79	10.10490743
80	10.09061132
81	10.07398119
82	10.06191765
83	10.04951809
84	10.036628
85	10.01918654
86	10.0078146
87	9.995293575
88	9.985928207
89	9.965691202
90	9.951217687
91	9.942422361
92	9.924106654
93	9.917397565
94	9.910447826
95	9.905428585
96	9.899247947
97	9.893591962
98	9.888332525
99	9.883268184
100	9.879320298
101	9.87482165
102	9.855652939
103	9.851515218
104	9.848012764
105	9.844329537
106	9.840747003
107	9.837544506
108	9.823234681
109	9.820293249
110	9.817409202
111	9.805226461
112	9.790012176
113	9.77758848
114	9.769502586
115	9.758193073
116	9.743920391
117	9.728651543
118	9.725821464
119	9.715458101
120	9.704484182
121	9.698492417
122	9.679627756
123	9.674468432
124	9.669821029
125	9.659833001
126	9.657364348
127	9.648859112
128	9.644685578
129	9.642376894
130	9.632234344
131	9.630004353
132	9.618900056
133	9.603155379
134	9.600044107
135	9.59793619
136	9.595962901
137	9.592468864
138	9.587798518
139	9.585833388
140	9.575867776
141	9.574181196
142	9.566808826
143	9.565050962
144	9.559264564
145	9.55752831
146	9.553971498
147	9.541405537
148	9.53999196
149	9.536845189
150	9.535305122
151	9.534062639
152	9.523360841
153	9.515775739
154	9.51253688
155	9.502903841
156	9.496083743
157	9.484289903
158	9.477724056
159	9.46557012
160	9.457600261
161	9.456546901
162	9.435558358
163	9.434222557
164	9.432848634
165	9.423629244
166	9.414387469
167	9.411373352
168	9.401246609
169	9.400206694
170	9.398923851
171	9.396239569
172	9.395176694
173	9.387354711
174	9.383041913
175	9.376429142
176	9.358659296
177	9.351289888
178	9.343170344
179	9.340390678
180	9.329753228
181	9.320992722
182	9.315080237
183	9.306507781
184	9.29974422
185	9.298752164
186	9.292798983
187	9.281919682
188	9.27499435
189	9.272399278
190	9.270053125
191	9.267635943
192	9.252582104
193	9.245672606
194	9.241485477
195	9.240543992
196	9.235498911
197	9.22905416
198	9.221871225
199	9.215642523
