iter	RMSE
0	82.25941274
1	75.74981052
2	70.26838184
3	64.931379
4	59.96206369
5	55.5135382
6	51.19545642
7	47.43433659
8	44.13489686
9	41.24984606
10	38.61785496
11	35.94772707
12	33.67662432
13	31.65789542
14	29.67161776
15	27.85022401
16	26.1498367
17	24.60297429
18	23.26671993
19	22.1481654
20	21.05067476
21	19.93929286
22	19.02440008
23	18.24948076
24	17.53962938
25	16.78769933
26	16.13594419
27	15.58371844
28	15.09480865
29	14.6671296
30	14.2747788
31	13.9231711
32	13.57433934
33	13.27725729
34	12.97195508
35	12.72253741
36	12.47866374
37	12.27665152
38	12.12853923
39	11.97166598
40	11.83203103
41	11.68287692
42	11.57407873
43	11.47528358
44	11.37663878
45	11.26134232
46	11.16250091
47	11.06478965
48	10.99630622
49	10.91863847
50	10.83860481
51	10.77873019
52	10.7192603
53	10.66718514
54	10.6080355
55	10.56327177
56	10.50423081
57	10.46339527
58	10.41776178
59	10.38540306
60	10.35011579
61	10.31474532
62	10.28251271
63	10.2448258
64	10.2142547
65	10.18288547
66	10.16233689
67	10.13099942
68	10.1084813
69	10.08027501
70	10.04662237
71	10.03456147
72	9.996961452
73	9.973479406
74	9.950922763
75	9.928399147
76	9.899934523
77	9.875139328
78	9.855807556
79	9.844649454
80	9.83139997
81	9.822123323
82	9.815154668
83	9.804624152
84	9.771995326
85	9.758825183
86	9.74991815
87	9.741780788
88	9.726722789
89	9.714738825
90	9.701806088
91	9.693360162
92	9.68616406
93	9.678704371
94	9.672185407
95	9.661338103
96	9.608685845
97	9.601753938
98	9.594872369
99	9.558471087
